,PassengerId,Pclass,Sex,Age,Fare,Embarked,Title,Name_length,LuckyElizabeth,LuckyAnna,LuckyMary,Family,Alone,Fsize,Cabin_Lv,Survived
60,61,3,1,22.0,7.2292,0,2,19,0,0,0,0,1,0,4,0
61,62,1,0,38.0,80.0,0,1,15,0,0,0,0,1,0,1,1
62,63,1,1,45.0,83.475,2,2,25,0,0,0,1,0,2,2,0
63,64,3,1,4.0,27.9,2,0,15,0,0,0,5,0,1,4,0
64,65,1,1,42.0,27.7208,0,2,19,0,0,0,0,1,0,3,0
65,66,3,1,26.0,15.2458,0,0,18,0,0,0,2,0,2,4,1
66,67,2,0,29.0,10.5,2,3,25,1,0,0,0,1,0,5,1
67,68,3,1,19.0,8.1583,2,2,22,0,0,0,0,1,0,4,0
68,69,3,0,17.0,7.925,2,1,27,0,0,0,6,0,1,4,1
69,70,3,1,26.0,8.6625,2,2,15,0,0,0,2,0,2,4,0
70,71,2,1,32.0,10.5,2,2,24,0,0,0,0,1,0,4,0
71,72,3,0,16.0,46.9,2,1,22,0,0,0,7,0,1,4,0
72,73,2,1,21.0,73.5,2,2,18,0,0,0,0,1,0,4,0
73,74,3,1,26.0,14.4542,0,2,25,0,0,0,1,0,2,4,0
74,75,3,1,32.0,56.4958,2,2,11,0,0,0,0,1,0,4,1
75,76,3,1,25.0,7.65,2,2,21,0,0,0,0,1,0,5,0
76,77,3,1,26.0,7.8958,2,2,15,0,0,0,0,1,0,4,0
77,78,3,1,26.0,8.05,2,2,22,0,0,0,0,1,0,4,0
78,79,2,1,0.83,29.0,2,0,23,0,0,0,2,0,2,4,1
79,80,3,0,30.0,12.475,2,1,20,1,0,0,0,1,0,4,1
80,81,3,1,22.0,9.0,2,2,18,0,0,0,0,1,0,4,0
81,82,3,1,29.0,9.5,2,2,25,0,0,0,0,1,0,4,1
82,83,3,0,22.0,7.7875,1,1,26,0,0,0,0,1,0,4,1
83,84,1,1,28.0,47.1,2,2,21,0,0,0,0,1,0,3,0
84,85,2,0,17.0,10.5,2,1,15,0,0,0,0,1,0,4,1
85,86,3,0,33.0,15.85,2,3,52,0,0,0,3,0,2,4,1
86,87,3,1,16.0,34.375,2,2,20,0,0,0,4,0,2,4,0
87,88,3,1,26.0,8.05,2,2,27,0,0,0,0,1,0,4,0
88,89,1,0,23.0,263.0,2,1,22,0,0,0,5,0,1,2,1
89,90,3,1,24.0,8.05,2,2,20,0,0,0,0,1,0,4,0
90,91,3,1,29.0,8.05,2,2,18,0,0,0,0,1,0,4,0
91,92,3,1,20.0,7.8542,2,2,24,0,0,0,0,1,0,4,0
92,93,1,1,46.0,61.175,2,2,25,0,0,0,1,0,2,4,0
93,94,3,1,26.0,20.575,2,2,21,0,0,0,3,0,2,4,0
94,95,3,1,59.0,7.25,2,2,15,0,0,0,0,1,0,4,0
95,96,3,1,26.0,8.05,2,2,25,0,0,0,0,1,0,4,0
96,97,1,1,71.0,34.6542,0,2,23,0,0,0,0,1,0,0,0
97,98,1,1,23.0,63.3583,0,2,29,0,0,0,1,0,2,3,1
98,99,2,0,34.0,23.0,2,3,33,0,0,0,1,0,2,4,1
99,100,2,1,34.0,26.0,2,2,15,0,0,0,1,0,2,4,0
100,101,3,0,28.0,7.8958,2,1,19,0,0,0,0,1,0,4,0
101,102,3,1,26.0,7.8958,2,2,30,0,0,0,0,1,0,4,0
102,103,1,1,21.0,77.2875,2,2,23,0,0,0,1,0,2,3,0
103,104,3,1,33.0,8.6542,2,2,24,0,0,0,0,1,0,4,0
104,105,3,1,37.0,7.925,2,2,28,0,0,0,2,0,2,4,0
105,106,3,1,28.0,7.8958,2,2,19,0,0,0,0,1,0,4,0
106,107,3,0,21.0,7.65,2,1,28,0,1,0,0,1,0,4,1
107,108,3,1,26.0,7.775,2,2,20,0,0,0,0,1,0,4,1
108,109,3,1,38.0,7.8958,2,2,13,0,0,0,0,1,0,4,0
109,110,3,0,22.0,24.15,1,1,15,0,0,0,1,0,2,4,1
110,111,1,1,47.0,52.0,2,2,28,0,0,0,0,1,0,2,0
111,112,3,0,14.5,14.4542,0,1,16,0,0,0,1,0,2,4,0
112,113,3,1,22.0,8.05,2,2,20,0,0,0,0,1,0,4,0
113,114,3,0,20.0,9.825,2,1,19,0,0,0,1,0,2,4,0
114,115,3,0,17.0,14.4583,0,1,17,0,0,0,0,1,0,4,0
115,116,3,1,21.0,7.925,2,2,19,0,0,0,0,1,0,4,0
116,117,3,1,70.5,7.75,1,2,18,0,0,0,0,1,0,4,0
117,118,2,1,29.0,21.0,2,2,29,0,0,0,1,0,2,4,0
118,119,1,1,24.0,247.5208,0,2,22,0,0,0,1,0,2,1,0
119,120,3,0,2.0,31.275,2,1,29,0,0,0,6,0,1,4,0
120,121,2,1,21.0,73.5,2,2,25,0,0,0,2,0,2,4,0
121,122,3,1,26.0,8.05,2,2,24,0,0,0,0,1,0,4,0
122,123,2,1,32.5,30.0708,0,2,18,0,0,0,1,0,2,4,0
123,124,2,0,32.5,13.0,2,1,15,0,0,0,0,1,0,4,1
124,125,1,1,54.0,77.2875,2,2,25,0,0,0,1,0,2,3,0
125,126,3,1,12.0,11.2417,0,0,22,0,0,0,1,0,2,4,1
126,127,3,1,26.0,7.75,1,2,17,0,0,0,0,1,0,4,0
127,128,3,1,24.0,7.1417,2,2,23,0,0,0,0,1,0,4,1
128,129,3,0,22.0,22.3583,0,1,13,0,1,0,2,0,2,5,1
129,130,3,1,45.0,6.975,2,2,16,0,0,0,0,1,0,4,0
130,131,3,1,33.0,7.8958,0,2,18,0,0,0,0,1,0,4,0
131,132,3,1,20.0,7.05,2,2,28,0,0,0,0,1,0,4,0
132,133,3,0,47.0,14.5,2,3,43,0,0,0,1,0,2,4,0
133,134,2,0,29.0,26.0,2,3,42,0,0,0,1,0,2,4,1
134,135,2,1,25.0,13.0,2,2,28,0,0,0,0,1,0,4,0
135,136,2,1,23.0,15.0458,0,2,16,0,0,0,0,1,0,4,0
136,137,1,0,19.0,26.2833,2,1,24,0,0,0,2,0,2,3,1
137,138,1,1,37.0,53.1,2,2,25,0,0,0,1,0,2,2,0
138,139,3,1,16.0,9.2167,2,2,17,0,0,0,0,1,0,4,0
139,140,1,1,24.0,79.2,0,2,16,0,0,0,0,1,0,1,0
140,141,3,0,22.0,15.2458,0,3,26,0,0,0,2,0,2,4,0
141,142,3,0,22.0,7.75,2,1,20,0,1,0,0,1,0,4,1
142,143,3,0,24.0,15.85,2,3,49,0,0,0,1,0,2,4,1
143,144,3,1,19.0,6.75,1,2,17,0,0,0,0,1,0,4,0
144,145,2,1,18.0,11.5,2,2,24,0,0,0,0,1,0,4,0
145,146,2,1,19.0,36.75,2,2,26,0,0,0,2,0,2,4,0
146,147,3,1,27.0,7.7958,2,2,42,0,0,0,0,1,0,4,1
147,148,3,0,9.0,34.375,2,1,28,0,0,0,4,0,2,4,0
148,149,2,1,36.5,26.0,2,2,38,0,0,0,2,0,2,5,0
149,150,2,1,42.0,13.0,2,4,29,0,0,0,0,1,0,4,0
150,151,2,1,51.0,12.525,2,4,22,0,0,0,0,1,0,4,0
151,152,1,0,22.0,66.6,2,3,30,0,0,0,1,0,2,2,1
152,153,3,1,55.5,8.05,2,2,14,0,0,0,0,1,0,4,0
153,154,3,1,40.5,14.5,2,2,29,0,0,0,2,0,2,4,0
154,155,3,1,26.0,7.3125,2,2,19,0,0,0,0,1,0,4,0
155,156,1,1,51.0,61.3792,0,2,25,0,0,0,1,0,2,3,0
156,157,3,0,16.0,7.7333,1,1,28,0,0,0,0,1,0,4,1
157,158,3,1,30.0,8.05,2,2,13,0,0,0,0,1,0,4,0
158,159,3,1,26.0,8.6625,2,2,17,0,0,0,0,1,0,4,0
159,160,3,1,26.0,69.55,2,0,20,0,0,0,10,0,1,4,0
160,161,3,1,44.0,16.1,2,2,22,0,0,0,1,0,2,4,0
161,162,2,0,40.0,15.75,2,3,47,1,0,0,0,1,0,4,1
162,163,3,1,26.0,7.775,2,2,24,0,0,0,0,1,0,4,0
163,164,3,1,17.0,8.6625,2,2,13,0,0,0,0,1,0,4,0
164,165,3,1,1.0,39.6875,2,0,22,0,0,0,5,0,1,4,0
165,166,3,1,9.0,20.525,2,0,41,0,0,0,2,0,2,4,1
166,167,1,0,35.0,55.0,2,3,35,0,0,0,1,0,2,4,1
167,168,3,0,45.0,27.9,2,3,44,0,1,0,5,0,1,4,0
168,169,1,1,42.0,25.925,2,2,17,0,0,0,0,1,0,3,0
169,170,3,1,28.0,56.4958,2,2,11,0,0,0,0,1,0,4,0
170,171,1,1,61.0,33.5,2,2,23,0,0,0,0,1,0,1,0
171,172,3,1,4.0,29.125,1,0,14,0,0,0,5,0,1,4,0
172,173,3,0,1.0,11.1333,2,1,24,0,0,0,2,0,2,4,1
173,174,3,1,21.0,7.925,2,2,23,0,0,0,0,1,0,4,0
174,175,1,1,56.0,30.6958,0,2,21,0,0,0,0,1,0,0,0
175,176,3,1,18.0,7.8542,2,2,20,0,0,0,2,0,2,4,0
176,177,3,1,26.0,25.4667,2,0,23,0,0,0,4,0,2,4,0
177,178,1,0,50.0,28.7125,0,1,22,0,0,0,0,1,0,2,0
178,179,2,1,30.0,13.0,2,2,16,0,0,0,0,1,0,4,0
179,180,3,1,36.0,0.0,2,2,17,0,0,0,0,1,0,4,0
180,181,3,0,22.0,69.55,2,1,24,0,0,0,10,0,1,4,0
181,182,2,1,30.0,15.05,0,2,14,0,0,0,0,1,0,4,0
182,183,3,1,9.0,31.3875,2,0,31,0,0,0,6,0,1,4,0
183,184,2,1,1.0,39.0,2,0,19,0,0,0,3,0,2,5,1
184,185,3,0,4.0,22.025,2,1,31,0,0,0,2,0,2,4,1
185,186,1,1,42.0,50.0,2,2,19,0,0,0,0,1,0,0,0
186,187,3,0,22.0,15.5,1,3,44,0,0,0,1,0,2,4,1
187,188,1,1,45.0,26.55,2,2,43,0,0,0,0,1,0,3,1
188,189,3,1,40.0,15.5,1,2,14,0,0,0,2,0,2,4,0
189,190,3,1,36.0,7.8958,2,2,17,0,0,0,0,1,0,4,0
190,191,2,0,32.0,13.0,2,3,16,0,0,0,0,1,0,4,1
191,192,2,1,19.0,13.0,2,2,19,0,0,0,0,1,0,4,0
192,193,3,0,19.0,7.8542,2,1,43,0,0,0,1,0,2,4,1
193,194,2,1,3.0,26.0,2,0,20,0,0,0,2,0,2,5,1
194,195,1,0,44.0,27.7208,0,3,38,0,0,0,0,1,0,1,1
195,196,1,0,58.0,146.5208,0,1,16,0,0,0,0,1,0,1,1
196,197,3,1,26.0,7.75,1,2,17,0,0,0,0,1,0,4,0
197,198,3,1,42.0,8.4042,2,2,30,0,0,0,1,0,2,4,0
198,199,3,0,22.0,7.75,1,1,28,0,0,0,0,1,0,4,1
199,200,2,0,24.0,13.0,2,1,34,0,0,0,0,1,0,4,0
200,201,3,1,28.0,9.5,2,2,28,0,0,0,0,1,0,4,0
201,202,3,1,26.0,69.55,2,2,17,0,0,0,10,0,1,4,0
202,203,3,1,34.0,6.4958,2,2,24,0,0,0,0,1,0,4,0
203,204,3,1,45.5,7.225,0,2,18,0,0,0,0,1,0,4,0
204,205,3,1,18.0,8.05,2,2,22,0,0,0,0,1,0,4,1
205,206,3,0,2.0,10.4625,2,1,22,0,0,0,1,0,2,6,0
206,207,3,1,32.0,15.85,2,2,24,0,0,0,1,0,2,4,0
207,208,3,1,26.0,18.7875,0,2,25,0,0,0,0,1,0,4,1
208,209,3,0,16.0,7.75,1,1,21,0,0,0,0,1,0,4,1
209,210,1,1,40.0,31.0,0,2,14,0,0,0,0,1,0,0,1
210,211,3,1,24.0,7.05,2,2,12,0,0,0,0,1,0,4,0
211,212,2,0,35.0,21.0,2,1,22,0,0,0,0,1,0,4,1
212,213,3,1,22.0,7.25,2,2,20,0,0,0,0,1,0,4,0
213,214,2,1,30.0,13.0,2,2,25,0,0,0,0,1,0,4,0
214,215,3,1,26.0,7.75,1,2,17,0,0,0,1,0,2,4,0
215,216,1,0,31.0,113.275,0,1,19,0,0,0,1,0,2,3,1
216,217,3,0,27.0,7.925,2,1,18,0,0,0,0,1,0,4,1
217,218,2,1,42.0,27.0,2,2,26,0,0,0,1,0,2,4,0
218,219,1,0,32.0,76.2917,0,1,17,0,0,0,0,1,0,3,1
219,220,2,1,30.0,10.5,2,2,16,0,0,0,0,1,0,4,0
220,221,3,1,16.0,8.05,2,2,28,0,0,0,0,1,0,4,1
221,222,2,1,27.0,13.0,2,2,18,0,0,0,0,1,0,4,0
222,223,3,1,51.0,8.05,2,2,21,0,0,0,0,1,0,4,0
223,224,3,1,26.0,7.8958,2,2,18,0,0,0,0,1,0,4,0
224,225,1,1,38.0,90.0,2,2,26,0,0,0,1,0,2,2,1
225,226,3,1,22.0,9.35,2,2,26,0,0,0,0,1,0,4,0
226,227,2,1,19.0,10.5,2,2,23,0,0,0,0,1,0,4,1
227,228,3,1,20.5,7.25,2,2,29,0,0,0,0,1,0,4,0
228,229,2,1,18.0,13.0,2,2,23,0,0,0,0,1,0,4,0
229,230,3,0,22.0,25.4667,2,1,19,0,0,0,4,0,2,4,0
230,231,1,0,35.0,83.475,2,3,41,0,0,0,1,0,2,2,1
231,232,3,1,29.0,7.775,2,2,22,0,0,0,0,1,0,4,0
232,233,2,1,59.0,13.5,2,2,23,0,0,0,0,1,0,4,0
233,234,3,0,5.0,31.3875,2,1,26,0,0,0,6,0,1,4,1
234,235,2,1,24.0,10.5,2,2,31,0,0,0,0,1,0,4,0
235,236,3,0,22.0,7.55,2,1,24,0,0,0,0,1,0,4,0
236,237,2,1,44.0,26.0,2,2,15,0,0,0,1,0,2,4,0
237,238,2,0,8.0,26.25,2,1,28,0,0,0,2,0,2,4,1
238,239,2,1,19.0,10.5,2,2,29,0,0,0,0,1,0,4,0
239,240,2,1,33.0,12.275,2,2,20,0,0,0,0,1,0,4,0
240,241,3,0,22.0,14.4542,0,1,17,0,0,0,1,0,2,4,0
241,242,3,0,22.0,15.5,1,1,26,0,0,0,1,0,2,4,1
242,243,2,1,29.0,10.5,2,2,29,0,0,0,0,1,0,4,0
243,244,3,1,22.0,7.125,2,2,27,0,0,0,0,1,0,4,0
244,245,3,1,30.0,7.225,0,2,18,0,0,0,0,1,0,4,0
245,246,1,1,44.0,90.0,1,4,23,0,0,0,2,0,2,2,0
246,247,3,0,25.0,7.775,2,1,33,0,0,0,0,1,0,4,0
247,248,2,0,24.0,14.5,2,3,28,0,1,0,2,0,2,4,1
248,249,1,1,37.0,52.5542,2,2,27,0,0,0,2,0,2,3,1
249,250,2,1,54.0,26.0,2,4,25,0,0,0,1,0,2,4,0
250,251,3,1,26.0,7.25,2,2,20,0,0,0,0,1,0,4,0
251,252,3,0,29.0,10.4625,2,3,39,0,0,0,2,0,2,6,0
252,253,1,1,62.0,26.55,2,2,23,0,0,0,0,1,0,2,0
253,254,3,1,30.0,16.1,2,2,22,0,0,0,1,0,2,4,0
254,255,3,0,41.0,20.2125,2,3,37,0,0,0,2,0,2,4,0
255,256,3,0,29.0,15.2458,0,3,36,0,0,0,2,0,2,4,1
256,257,1,0,35.0,79.2,0,3,27,0,0,0,0,1,0,3,1
257,258,1,0,30.0,86.5,2,1,16,0,0,0,0,1,0,1,1
258,259,1,0,35.0,512.3292,0,1,12,0,1,0,0,1,0,3,1
259,260,2,0,50.0,26.0,2,3,24,0,0,0,1,0,2,4,1
260,261,3,1,26.0,7.75,1,2,15,0,0,0,0,1,0,4,0
261,262,3,1,3.0,31.3875,2,0,27,0,0,0,6,0,1,4,1
262,263,1,1,52.0,79.65,2,2,15,0,0,0,2,0,2,4,0
263,264,1,1,40.0,0.0,2,2,19,0,0,0,0,1,0,1,0
264,265,3,0,22.0,7.75,1,1,14,0,0,0,0,1,0,4,0
265,266,2,1,36.0,10.5,2,2,15,0,0,0,0,1,0,4,0
266,267,3,1,16.0,39.6875,2,2,23,0,0,0,5,0,1,4,0
267,268,3,1,25.0,7.775,2,2,22,0,0,0,1,0,2,4,1
268,269,1,0,58.0,153.4625,2,3,42,0,0,0,1,0,2,2,1
269,270,1,0,35.0,135.6333,2,1,18,0,0,0,0,1,0,2,1
270,271,1,1,42.0,31.0,2,2,19,0,0,0,0,1,0,3,0
271,272,3,1,25.0,0.0,2,2,26,0,0,0,0,1,0,4,1
272,273,2,0,41.0,19.5,2,3,38,1,0,0,1,0,2,4,1
273,274,1,1,37.0,29.7,0,2,19,0,0,0,1,0,2,2,0
274,275,3,0,22.0,7.75,1,1,22,0,0,0,0,1,0,4,1
275,276,1,0,63.0,77.9583,2,1,29,0,0,0,1,0,2,3,1
276,277,3,0,45.0,7.75,2,1,29,0,0,0,0,1,0,4,0
277,278,2,1,30.0,0.0,2,2,25,0,0,0,0,1,0,4,0
278,279,3,1,7.0,29.125,1,0,12,0,0,0,5,0,1,4,0
279,280,3,0,35.0,20.25,2,3,29,0,0,0,2,0,2,4,1
280,281,3,1,65.0,7.75,1,2,14,0,0,0,0,1,0,4,0
281,282,3,1,28.0,7.8542,2,2,30,0,0,0,0,1,0,4,0
282,283,3,1,16.0,9.5,2,2,23,0,0,0,0,1,0,4,0
283,284,3,1,19.0,8.05,2,2,24,0,0,0,0,1,0,4,1
284,285,1,1,42.0,26.0,2,2,24,0,0,0,0,1,0,0,0
285,286,3,1,33.0,8.6625,0,2,17,0,0,0,0,1,0,4,0
286,287,3,1,30.0,9.5,2,2,21,0,0,0,0,1,0,4,1
287,288,3,1,22.0,7.8958,2,2,18,0,0,0,0,1,0,4,0
288,289,2,1,42.0,13.0,2,2,18,0,0,0,0,1,0,4,1
289,290,3,0,22.0,7.75,1,1,16,0,0,0,0,1,0,4,1
290,291,1,0,26.0,78.85,2,1,24,0,0,0,0,1,0,3,1
291,292,1,0,19.0,91.0792,0,3,36,0,0,0,1,0,2,1,1
292,293,2,1,36.0,12.875,0,2,20,0,0,0,0,1,0,3,0
293,294,3,0,24.0,8.85,2,1,15,0,0,0,0,1,0,4,0
294,295,3,1,24.0,7.8958,2,2,14,0,0,0,0,1,0,4,0
295,296,1,1,42.0,27.7208,0,2,15,0,0,0,0,1,0,3,0
296,297,3,1,23.5,7.2292,0,2,16,0,0,0,0,1,0,4,0
297,298,1,0,2.0,151.55,2,1,24,0,0,0,3,0,2,2,0
298,299,1,1,42.0,30.5,2,2,19,0,0,0,0,1,0,2,1
299,300,1,0,50.0,247.5208,0,3,44,0,0,0,1,0,2,1,1
300,301,3,0,22.0,7.75,1,1,36,0,1,0,0,1,0,4,1
301,302,3,1,26.0,23.25,1,2,16,0,0,0,2,0,2,4,1
302,303,3,1,19.0,0.0,2,2,29,0,0,0,0,1,0,4,0
303,304,2,0,30.0,12.35,1,1,15,0,0,0,0,1,0,4,1
304,305,3,1,26.0,8.05,2,2,31,0,0,0,0,1,0,4,0
305,306,1,1,0.92,151.55,2,0,24,0,0,0,3,0,2,2,1
306,307,1,0,35.0,110.8833,0,1,19,0,0,0,0,1,0,3,1
307,308,1,0,17.0,108.9,0,3,79,0,0,0,1,0,2,2,1
308,309,2,1,30.0,24.0,0,2,17,0,0,0,1,0,2,4,0
309,310,1,0,30.0,56.9292,0,1,26,0,0,0,0,1,0,4,1
310,311,1,0,24.0,83.1583,0,1,26,0,0,0,0,1,0,2,1
311,312,1,0,18.0,262.375,0,1,22,0,0,0,4,0,2,1,1
312,313,2,0,26.0,26.0,2,3,34,0,1,0,2,0,2,4,0
313,314,3,1,28.0,7.8958,2,2,20,0,0,0,0,1,0,4,0
314,315,2,1,43.0,26.25,2,2,16,0,0,0,2,0,2,4,0
315,316,3,0,26.0,7.8542,2,1,27,0,0,0,0,1,0,4,1
316,317,2,0,24.0,26.0,2,3,32,0,0,0,1,0,2,4,1
317,318,2,1,54.0,14.0,2,4,16,0,0,0,0,1,0,4,0
318,319,1,0,31.0,164.8667,2,1,20,0,0,1,2,0,2,2,1
319,320,1,0,40.0,134.5,0,3,53,0,0,0,2,0,2,4,1
320,321,3,1,22.0,7.25,2,2,16,0,0,0,0,1,0,4,0
321,322,3,1,27.0,7.8958,2,2,14,0,0,0,0,1,0,4,0
322,323,2,0,30.0,12.35,1,1,21,0,0,0,0,1,0,4,1
323,324,2,0,22.0,29.0,2,3,48,0,0,0,2,0,2,4,1
324,325,3,1,26.0,69.55,2,2,22,0,0,0,10,0,1,4,0
325,326,1,0,36.0,135.6333,0,1,20,0,0,0,0,1,0,2,1
326,327,3,1,61.0,6.2375,2,2,23,0,0,0,0,1,0,4,0
327,328,2,0,36.0,13.0,2,3,20,0,0,0,0,1,0,3,1
328,329,3,0,31.0,20.525,2,3,43,0,0,0,2,0,2,4,1
329,330,1,0,16.0,57.9792,0,1,24,0,0,0,1,0,2,1,1
330,331,3,0,22.0,23.25,1,1,14,0,0,0,2,0,2,4,1
331,332,1,1,45.5,28.5,2,2,17,0,0,0,0,1,0,2,0
332,333,1,1,38.0,153.4625,2,2,23,0,0,0,1,0,2,2,0
333,334,3,1,16.0,18.0,2,2,29,0,0,0,2,0,2,4,0
334,335,1,0,35.0,133.65,2,3,47,0,0,0,1,0,2,3,1
335,336,3,1,26.0,7.8958,2,2,16,0,0,0,0,1,0,4,0
336,337,1,1,29.0,66.6,2,2,23,0,0,0,1,0,2,2,0
337,338,1,0,41.0,134.5,0,1,27,1,0,0,0,1,0,4,1
338,339,3,1,45.0,8.05,2,2,19,0,0,0,0,1,0,4,1
339,340,1,1,45.0,35.5,2,2,26,0,0,0,0,1,0,7,0
340,341,2,1,2.0,26.0,2,0,24,0,0,0,2,0,2,5,1
341,342,1,0,24.0,263.0,2,1,26,0,0,0,5,0,1,2,1
342,343,2,1,28.0,13.0,2,2,24,0,0,0,0,1,0,4,0
343,344,2,1,25.0,13.0,2,2,40,0,0,0,0,1,0,4,0
344,345,2,1,36.0,13.0,2,2,21,0,0,0,0,1,0,4,0
345,346,2,0,24.0,13.0,2,1,25,0,0,0,0,1,0,5,1
346,347,2,0,40.0,13.0,2,1,21,0,0,0,0,1,0,4,1
347,348,3,0,22.0,16.1,2,3,38,0,0,1,1,0,2,4,1
348,349,3,1,3.0,15.9,2,0,32,0,0,0,2,0,2,4,1
349,350,3,1,42.0,8.6625,2,2,14,0,0,0,0,1,0,4,0
350,351,3,1,23.0,9.225,2,2,20,0,0,0,0,1,0,4,0
351,352,1,1,42.0,35.0,2,2,36,0,0,0,0,1,0,2,0
352,353,3,1,15.0,7.2292,0,2,16,0,0,0,2,0,2,4,0
353,354,3,1,25.0,17.8,2,2,23,0,0,0,1,0,2,4,0
354,355,3,1,26.0,7.225,0,2,15,0,0,0,0,1,0,4,0
355,356,3,1,28.0,9.5,2,2,25,0,0,0,0,1,0,4,0
356,357,1,0,22.0,55.0,2,1,23,0,0,0,1,0,2,4,1
357,358,2,0,38.0,13.0,2,1,21,0,0,0,0,1,0,4,0
358,359,3,0,22.0,7.8792,1,1,16,0,0,1,0,1,0,4,1
359,360,3,0,22.0,7.8792,1,1,29,0,0,0,0,1,0,4,1
